,hid,corr_enhance30,corr_enhance45,conc,mass,spin,scale_of_last_MM,c_to_a,Ni11_ba,Ni11_ca,Ni11_rperp,Ni11_rpar,Ni11_Nsats,Np11_ba,Np11_ca,Np11_rperp,Np11_rpar,Np11_Nsats,L0i1_ba,L0i1_ca,L0i1_rperp,L0i1_rpar,L0i1_Nsats,L1i1_ba,L1i1_ca,L1i1_rperp,L1i1_rpar,L1i1_Nsats,L0p1_ba,L0p1_ca,L0p1_rperp,L0p1_rpar,L0p1_Nsats,L1p1_ba,L1p1_ca,L1p1_rperp,L1p1_rpar,L1p1_Nsats,L0m1_ba,L0m1_ca,L0m1_rperp,L0m1_rpar,L0m1_Nsats,L1m1_ba,L1m1_ca,L1m1_rperp,L1m1_rpar,L1m1_Nsats
1631506,1631506.0,1.0147121135699277,1.0032815258140753,7.491846993052891,1558697883804.3674,0.05046456679701805,0.316799998283,0.760521411895752,0.7753233960844708,0.4218082924240556,60.667167939434954,143.82639940716152,11.0,0.7753233960844708,0.4218082924240556,60.667167939434954,143.82639940716152,11.0,0.5505002467502522,0.511650542452789,66.51849405323223,130.00766838700272,17.0,0.6863481377077286,0.5303644929399343,65.34640982457393,123.2103783236761,22.0,0.5297735437457325,0.5024631104506718,67.30442448516924,133.9489866724787,16.0,0.5586912420188267,0.5105884723786152,63.07221371373412,123.52847180412716,19.0,0.5541809496093962,0.5232187721656367,64.52611845823239,123.32531226116866,19.0,0.6897822366974603,0.535454639805944,63.32488688444549,118.26377470068297,24.0
264569,264569.0,1.0126564331059242,1.0066750989950897,8.374413292831589,1791127633636.6238,0.04388744756579399,0.577799975872,0.5449371933937073,0.7556948397122418,0.5363756473096688,89.03131789100244,165.9868756860273,11.0,0.7556948397122418,0.5363756473096688,89.03131789100244,165.9868756860273,11.0,0.8919253179072693,0.5529527364680958,73.37911128455166,132.70412902420907,15.0,0.868323870018268,0.6313467084014893,73.381999767893,116.23090576284048,24.0,0.9238733962230888,0.5810009718718846,73.29553708086252,126.15389754808325,14.0,0.8691814924700991,0.545141913517189,65.51135433130136,120.17302780597096,23.0,0.8401678027516403,0.5417845213551709,73.66376064130591,135.96505204144646,17.0,0.963903008976086,0.6370927687708551,69.81446585076661,109.58288851003574,28.0
1725139,1725139.0,1.0140434456518446,1.0055739010645792,10.170184021184918,1353551753324.188,0.06664850562810898,0.554799973965,0.7461728453636169,0.7336513691629254,0.5938729706834177,86.17817394976939,145.11213374570187,11.0,0.7336513691629254,0.5938729706834177,86.17817394976939,145.11213374570187,11.0,0.8517196696788537,0.4111631465903062,43.254531927730525,105.20041080148293,7.0,0.7935245045486453,0.55445000754579,65.49632612397635,118.12846105618866,15.0,0.6266788715687376,0.4043136782355162,37.29703683116325,92.24777404002994,7.0,0.8448797137754804,0.4704847337134666,46.640440323416556,99.13273902702535,15.0,0.8515926568659815,0.5102461900188247,54.5068917686859,106.8246913645254,10.0,0.889526247164723,0.5959413622026255,63.01908978069671,105.74713181138381,19.0
447649,447649.0,1.0666228915026112,1.0475158896176542,8.573133921255883,1424129267399.005,0.029593253508210182,0.520200014114,0.612450897693634,0.9398746328885762,0.5972894601755596,83.6544699110489,140.05683255562647,11.0,0.9398746328885762,0.5972894601755596,83.6544699110489,140.05683255562647,11.0,0.7945067928538934,0.41274772289486106,58.35995796307024,141.3937733048044,10.0,0.861384600575459,0.6905833520372707,81.0211787501957,117.32280905871445,16.0,0.7896223405065718,0.5012556830522121,66.6763319114717,133.0186054060688,12.0,0.7989318787984312,0.7674740079671055,93.49057807282045,121.81595350761059,16.0,0.7583568394289851,0.4958766163080934,66.2704646217224,133.64305240912563,13.0,0.8981667710331781,0.841866573261303,92.47536132559537,109.84562668565817,21.0
5320,5320.0,1.074320031198475,1.0539877871759697,12.10826673910893,1309298890488.7542,0.041862934827804565,0.66219997406,0.505089282989502,0.6732603618685197,0.3904938863349469,50.989339612707674,130.57653755165697,11.0,0.6732603618685197,0.3904938863349469,50.989339612707674,130.57653755165697,11.0,0.5127648300770941,0.1167403997702603,12.05394812246993,103.25429882193455,7.0,0.5618046174393376,0.17124168103680965,15.614829532071097,91.18591593780876,10.0,0.42757634149531043,0.15533115320700755,19.915809579885988,128.21516591294775,10.0,0.5665433255099903,0.26639766398584885,29.241579495685396,109.76665132183261,14.0,0.429610882574998,0.18449320091814925,21.685109575910946,117.5388007145672,12.0,0.6192164727530527,0.2846789484547315,28.37979218468443,99.69051922782859,18.0
581141,581141.0,1.0388654558637842,1.0269017987301428,10.195944288370988,1362537538442.0728,0.027665821835398674,0.435799986124,0.4738216996192932,0.658370043773461,0.5106931944046343,76.65823034247201,150.10623047726355,11.0,0.658370043773461,0.5106931944046343,76.65823034247201,150.10623047726355,11.0,0.7094328150404459,0.43483786213145353,60.77405521793977,139.76256556879002,9.0,0.8067150340997741,0.5134504918356397,66.18868422314857,128.9095740984044,13.0,0.7607825064651793,0.32526824096726187,41.71334123560693,128.242896114181,9.0,0.7316605467940815,0.42180758753294845,52.872870083094924,125.34831436374978,12.0,0.7212717901242827,0.43110862835067987,57.759243628237144,133.9783985516838,10.0,0.8023313816970206,0.5120432549631695,64.05224304589436,125.09146917773877,14.0
1130025,1130025.0,1.0996649216451548,1.0730027620599913,13.50744041778905,1701554738562.9539,0.01979799196124077,0.30910000205,0.5888579487800598,0.6828246389768005,0.40719790410622514,67.89965151742251,166.7485289897505,11.0,0.6828246389768005,0.40719790410622514,67.89965151742251,166.7485289897505,11.0,0.7253757261385162,0.5808759551345224,67.58656605504717,116.35283825682734,14.0,0.7298899009479534,0.6632548453791535,82.99811548319862,125.13759388482458,25.0,0.6480413815241328,0.3941758422417976,46.258486132379446,117.35494968259188,12.0,0.5842245728165489,0.5506237887489409,70.26363701569676,127.60733998678312,19.0,0.7103906105045732,0.5628453950540391,65.53179929839084,116.42948467598126,15.0,0.7343011404220118,0.6973310544655276,84.36158711025844,120.97781472663333,27.0
1387186,1387186.0,1.1402980564818113,1.0975090235668434,12.401051715929743,1321679637565.6814,0.01615395024418831,0.447299987078,0.4624539613723755,0.7470982088032033,0.48008153172527795,66.9081350600882,139.36827525866116,11.0,0.7470982088032033,0.48008153172527795,66.9081350600882,139.36827525866116,11.0,0.7054988154181625,0.3600365586765472,46.289764313238244,128.56962216113294,11.0,0.852144494172388,0.412507810472082,45.192845820532284,109.55633971830187,17.0,0.7897589510910478,0.3167434619141688,38.94283779507657,122.94756633565272,10.0,0.7833367964747318,0.27327715696464955,36.32251589988481,132.91457033338276,14.0,0.8929547681972873,0.3649335512538559,45.01496887544496,123.351138092895,12.0,0.8386343715913721,0.44325843419085115,52.43664323235861,118.29812855807116,19.0
581180,581180.0,1.1002511272467281,1.0646587304452189,11.713712706787978,1323473064183.769,0.019589750096201897,0.332199990749,0.5147786140441895,0.7333063058376112,0.4587979648809547,69.86271161743058,152.27336859603994,11.0,0.7333063058376112,0.4587979648809547,69.86271161743058,152.27336859603994,11.0,0.7220664341829532,0.460989691556201,67.028944334349,145.40226291844803,7.0,0.728772051211415,0.49396031843509813,65.49284997226617,132.58726972189226,13.0,0.6332927753872393,0.43266099118021134,60.31722985295908,139.40991002777002,4.0,0.726633629008736,0.4982260172677988,61.86529132436151,124.17113755644884,15.0,0.7948252243792937,0.5000466113281531,68.01223446999283,136.01178955967399,8.0,0.726633629008736,0.4982260172677988,61.86529132436151,124.17113755644884,15.0
1725372,1725372.0,1.1409284673239262,1.1032725386556985,12.522003433377698,1179437811439.8594,0.03417264297604561,0.186299994588,0.5750504732131958,0.870537795168774,0.31192287450123096,40.899325051155806,131.11999277563203,11.0,0.870537795168774,0.31192287450123096,40.899325051155806,131.11999277563203,11.0,0.7728025595439828,0.2227722896556291,26.993027933848243,121.16869641002191,9.0,0.7424203056589826,0.400082703104932,39.6804641945542,99.18065411627408,17.0,0.7937095254082953,0.3397033183813341,40.16445779998363,118.23392833300815,9.0,0.7473164250552072,0.3554234658816244,34.31380279867457,96.54343647108288,16.0,0.7717057044402761,0.34424678045678864,37.86825808654774,110.00323092724238,11.0,0.9280511057246027,0.5127446383694976,45.6447322806653,89.02039897640526,22.0
